species,prior,delta,posterior
falco_tinnunculus,0.5948426905930452,0.0969675122330248,0.69181020282607
ficedula_hypoleuca,0.8131113042098275,0.04788335707414837,0.8609946612839758
fringilla_coelebs,0.7503248267881346,0.012582325545115403,0.76290715233325
fringilla_montifringilla,0.7775425885190212,0.026906295719638873,0.8044488842386601
gallinago_gallinago,0.7520761752225095,0.08115987740730124,0.8332360526298107
garrulus_glandarius,0.7051724178236363,0.046751749441958146,0.7519241672655944
gavia_arctica,0.7884881241611356,0.04426207965039386,0.8327502038115294
grus_grus,0.587319910072646,0.06430439878728911,0.651624308859935
haematopus_ostralegus,0.6586544123518817,0.15107040417089201,0.8097248165227737
hippolais_icterina,0.8189103614875376,0.06644197597761647,0.8853523374651541
hirundo_rustica,0.7178877661553587,0.07214031130168141,0.7900280774570401
jynx_torquilla,0.7918168632766737,0.10599212549659631,0.89780898877327
larus_argentatus,0.46563019098721947,0.10671364176451381,0.5723438327517333
larus_canus,0.68539115088655,0.08821597247432578,0.7736071233608758
linaria_cannabina,0.6815315276760237,0.026883417550439104,0.7084149452264628
lophophanes_cristatus,0.67038518776296,0.03610276032463022,0.7064879480875902
loxia_curvirostra,0.6510892694332614,0.014999754615775074,0.6660890240490365
luscinia_luscinia,0.8325839729700116,0.07059677782330487,0.9031807507933165
motacilla_alba,0.6126817248423448,0.029934032642384922,0.6426157574847298
muscicapa_striata,0.7834185809889718,0.05067703935238976,0.8340956203413615
numenius_arquata,0.7666675035018506,0.04954983416446457,0.8162173376663152
parus_major,0.7284476578257411,0.004587213190308415,0.7330348710160495
passer_domesticus,0.7805996137322648,0.042395276386963054,0.8229948901192279
passer_montanus,0.7414364622139092,0.010059617083997052,0.7514960792979063
periparus_ater,0.6763766843930493,0.038610763775485446,0.7149874481685348
phasianus_colchicus,0.7439010526144554,0.12130573378388265,0.865206786398338
phoenicurus_phoenicurus,0.7711525340186787,0.03223237262578005,0.8033849066444587
phylloscopus_collybita,0.6907927032123331,0.07315682814866531,0.7639495313609984
phylloscopus_sibilatrix,0.8243562301702088,0.011620910676734875,0.8359771408469436
phylloscopus_trochilus,0.8053545725368961,0.031226331202944935,0.8365809037398411
pica_pica,0.6686700821254999,0.0045470902603740315,0.673217172385874
picus_canus,0.6353079681248807,0.09160709622610408,0.7269150643509847
poecile_montanus,0.7265970470205663,0.022593388233225764,0.749190435253792
prunella_modularis,0.5523160313679409,0.1538018926065562,0.7061179239744971
pyrrhula_pyrrhula,0.5750520940618563,0.02075188118326987,0.5958039752451262
regulus_regulus,0.65484343423534,-0.006089131220290422,0.6487543030150495
saxicola_rubetra,0.8573544493687659,0.006197437382879589,0.8635518867516455
scolopax_rusticola,0.8793566483935724,0.017314009922349993,0.8966706583159224
spinus_spinus,0.7283451496072658,0.01581027798692547,0.7441554275941913
sterna_hirundo,0.6882207407679507,0.07756316170053523,0.7657839024684859
sterna_paradisaea,0.7411201325852248,0.12661258436501355,0.8677327169502383
strix_aluco,0.6970404131207771,0.0707077095302624,0.7677481226510395
sturnus_vulgaris,0.6993827126024182,0.0434218555639182,0.7428045681663364
sylvia_atricapilla,0.778045855060173,0.0562477896333331,0.8342936446935061
sylvia_borin,0.8300986945641137,0.039120802890260875,0.8692194974543745
sylvia_communis,0.8079497664182592,0.04777021981174134,0.8557199862300006
sylvia_curruca,0.7429070916154068,0.0353181376283509,0.7782252292437577
tringa_glareola,0.6721672938015293,0.12594193127041775,0.798109225071947
tringa_nebularia,0.6617380413738572,0.131500946118272,0.7932389874921292
tringa_ochropus,0.6779511148384423,0.03985694910709414,0.7178080639455364
troglodytes_troglodytes,0.7717752249270439,0.0026319379654806685,0.7744071628925245
turdus_iliacus,0.7080323055059465,0.06562203947049439,0.7736543449764409
turdus_merula,0.6897487955291837,0.07600658469735933,0.765755380226543
turdus_philomelos,0.6212987005409356,0.09242174421938487,0.7137204447603205
turdus_pilaris,0.7479753004957085,0.01961556200181913,0.7675908624975276
vanellus_vanellus,0.7330542811851053,0.035277533548882745,0.768331814733988
